date,value
2022-06-01T02:34:50Z,0
2022-06-02T02:26:23Z,1
2022-06-03T02:02:53Z,1
2022-06-04T02:04:11Z,1
2022-06-05T02:25:00Z,1
2022-06-06T02:22:39Z,1
2022-06-07T02:15:43Z,1
2022-06-08T02:18:33Z,1
2022-06-09T02:13:24Z,1
2022-06-10T02:26:35Z,1
2022-06-11T02:17:55Z,1
2022-06-12T02:32:27Z,1
2022-06-13T02:31:48Z,1
2022-06-14T02:31:05Z,1
2022-06-14T21:58:40Z,1
2022-06-16T02:18:43Z,1
2022-06-17T02:20:44Z,1
2022-06-18T02:19:42Z,1
2022-06-19T02:25:46Z,1
2022-06-20T02:21:21Z,1
2022-06-21T02:25:52Z,1
2022-06-22T02:33:09Z,1
2022-06-22T21:58:08Z,1
2022-06-24T02:27:16Z,1
2022-06-25T02:33:54Z,1
2022-06-27T02:32:05Z,1
2022-06-28T02:31:54Z,1
2022-06-29T02:33:26Z,1
2022-06-30T02:30:40Z,1
2022-07-01T02:44:08Z,1
2022-07-02T02:29:21Z,1
2022-07-03T02:38:34Z,1
2022-07-04T02:37:53Z,1
2022-07-05T02:31:37Z,1
2022-07-06T02:44:29Z,1
2022-07-07T02:35:12Z,1
2022-07-08T02:34:55Z,1
2022-07-09T02:23:57Z,1
2022-07-10T02:39:57Z,1
2022-07-11T02:39:38Z,1
2022-07-12T02:44:07Z,1
2022-07-13T02:30:35Z,1
2022-07-14T02:41:45Z,1
2022-07-15T02:46:34Z,1
2022-07-15T21:57:44Z,1
2022-07-17T02:47:26Z,1
2022-07-18T02:50:32Z,1
2022-07-19T02:58:34Z,1
2022-07-21T02:48:24Z,1
2022-07-21T22:03:06Z,1
2022-07-22T21:59:53Z,1
2022-07-24T02:55:32Z,1
2022-07-25T02:44:15Z,1
2022-07-26T03:00:57Z,1
2022-07-26T16:09:19Z,1
2022-07-27T02:53:06Z,1
2022-07-28T02:41:21Z,1
2022-07-29T03:00:18Z,1
2022-07-30T02:45:20Z,1
2022-07-31T02:59:16Z,1
2022-08-01T02:54:26Z,1
2022-08-02T03:06:53Z,1
2022-08-03T02:45:05Z,1
2022-08-04T02:40:42Z,1
2022-08-05T02:42:14Z,1
2022-08-06T02:40:54Z,1
2022-08-07T02:51:00Z,1
2022-08-08T02:40:04Z,1
2022-08-09T02:50:46Z,1
2022-08-09T22:01:56Z,1
2022-08-11T02:36:58Z,1
2022-08-12T02:39:17Z,1
2022-08-13T02:34:30Z,1
2022-08-14T02:58:21Z,1
2022-08-15T02:58:48Z,1
2022-08-16T02:50:57Z,1
2022-08-17T03:11:19Z,1
2022-08-18T03:03:11Z,1
2022-08-19T03:02:41Z,1
2022-08-20T02:53:09Z,1
2022-08-23T19:17:15Z,1
2022-08-30T13:32:59Z,1
2022-09-01T02:55:44Z,1
2022-09-02T03:07:19Z,1
2022-09-02T22:03:45Z,1
2022-09-04T03:10:26Z,1
2022-09-05T03:07:10Z,1
2022-09-06T03:22:05Z,1
2022-09-07T03:19:11Z,1
2022-09-10T03:12:40Z,1
2022-09-11T03:12:18Z,1
2022-09-12T03:23:31Z,1
2022-09-13T03:17:06Z,1
2022-09-14T03:15:38Z,1
2022-09-15T03:24:33Z,1
2022-09-16T03:18:32Z,1
2022-09-16T19:13:22Z,1
2022-09-18T03:28:21Z,1
2022-09-20T03:10:32Z,1
2022-09-21T03:25:20Z,1
2022-09-22T03:16:05Z,1
2022-09-24T03:14:50Z,1
2022-09-25T03:13:30Z,1
2022-09-26T03:21:18Z,1
2022-09-26T16:20:55Z,1
2022-09-29T02:48:12Z,1
2022-09-30T03:04:24Z,1
2022-10-01T03:01:31Z,1
2022-10-02T02:52:50Z,1
2022-10-03T02:20:42Z,1
2022-10-04T02:30:08Z,1
2022-10-05T02:29:01Z,1
2022-10-06T06:53:13Z,1
2022-10-07T02:40:31Z,1
2022-10-08T02:18:23Z,1
2022-10-09T02:41:16Z,1
2022-10-10T02:43:13Z,1
2022-10-11T02:38:14Z,1
2022-10-12T02:50:41Z,1
2022-10-13T02:43:09Z,1
2022-10-14T02:54:18Z,1
2022-10-15T02:49:55Z,1
2022-10-16T02:54:49Z,1
2022-10-17T02:56:48Z,1
2022-10-18T02:48:17Z,1
2022-10-19T02:45:16Z,1
2022-10-20T02:46:20Z,1
2022-10-20T21:43:10Z,1
2022-10-22T02:31:17Z,1
2022-10-23T02:45:04Z,1
2022-10-24T02:57:24Z,1
2022-10-25T02:50:40Z,1
2022-10-26T02:26:15Z,1
2022-10-27T02:22:43Z,1
2022-10-28T02:35:50Z,1
2022-10-29T02:16:14Z,1
2022-10-30T02:39:15Z,1
2022-10-31T02:40:00Z,1
2022-11-01T02:45:25Z,1
2022-11-02T02:38:05Z,1
2022-11-03T02:19:16Z,1
2022-11-04T13:04:19Z,1
2022-11-05T02:16:32Z,1
2022-11-06T02:18:18Z,1
2022-11-07T02:14:37Z,1
2022-11-08T02:13:30Z,1
2022-11-09T02:25:05Z,1
2022-11-10T02:16:39Z,1
2022-11-11T02:17:03Z,1
2022-11-12T02:12:30Z,1
2022-11-13T02:11:39Z,1
2022-11-14T02:12:27Z,1
2022-11-14T18:46:41Z,1
2022-11-16T02:11:05Z,1
2022-11-17T02:09:53Z,1
2022-11-18T02:14:51Z,1
2022-11-19T02:09:17Z,1
2022-11-20T02:14:40Z,1
2022-11-21T02:11:03Z,1
2022-11-22T02:13:26Z,1
2022-11-23T02:00:35Z,1
2022-11-24T02:03:43Z,1
2022-11-25T02:00:50Z,1
2022-11-26T01:55:31Z,1
2022-11-27T02:06:18Z,1
2022-11-28T02:00:06Z,1
2022-11-29T01:59:07Z,1
2022-11-30T02:00:46Z,1
2022-12-01T02:11:22Z,1
2022-12-02T01:46:25Z,1
2022-12-03T01:42:36Z,1
2022-12-04T01:54:38Z,1
2022-12-05T01:46:52Z,1
2022-12-06T01:45:11Z,1
2022-12-07T01:55:04Z,1
2022-12-08T01:45:41Z,1
